geneid,gename
100682525,Tp53
100682526,Tuba1c
100682528,Tuba1b
100682529,Mgat1
100682530,Plec
100682531,Kif23
100682532,Manea
100682533,Aimp2
100682534,Furin
100682535,Abcb4
100682536,Abcb1
100682537,Abcb1b
100682538,Ahr
100682539,Slc35c2
100684971,Adam17
100689008,LOC100689008
100689009,LOC100689009
100689011,LOC100689011
100689015,Pex5
100689016,Polr2a
100689017,Srebf2
100689018,Srebf1
100689019,Chcr1
100689020,Chcr2
100689021,Cbr3
100689022,Fpgs
100689023,Slc20a2
100689025,Slc20a1
100689026,Ubtf
100689027,Col7a1
100689028,Dhfr
100689029,Lpin1
100689030,Slc35b4
100689031,Slc35a2
100689032,Bax
100689033,Cyp2a14
100689034,Cyp2a17
100689035,Cyp2a15
100689036,Fut9
100689037,Gja4
100689038,Col4a3bp
100689039,Cdk2
100689040,Hmga1
100689041,Hspg2
100689042,Orc5
100689043,Orc4
100689044,Ercc4
100689045,Rpsa
100689046,Top1
100689047,Pex2
100689048,Scap
100689049,Mpdu1
100689051,Eef2
100689052,Myl6
100689053,Rps17
100689054,Dpagt1
100689055,Lrrfip1
100689056,Ncl
100689057,Sdc1
100689058,Rps2
100689059,Cxcl1
100689060,Adsl
100689061,Casp3
100689062,Xbp1
100689063,Ccnd1
100689064,Ldha
100689065,Gna11
100689066,Gnaq
100689067,Gnas
100689068,Gnai2
100689069,Gnao1
100689070,Gnai1
100689071,Gna13
100689072,Gnai3
100689075,Cirbp
100689076,Mgat3
100689077,Gja1
100689078,Rad51c
100689079,Insig2
100689080,Insig1
100689081,Slc9a3r1
100689082,Xpr1
100689083,Fut6b
100689084,Fut6a
100689085,Mbtps2
100689086,Srsf1
100689089,Tubb4b
100689090,Neu3
100689091,Tubb
100689092,Bst2
100689093,Pisd
100689094,Slc31a1
100689095,Dnase1l1
100689096,Calr
100689097,Creld2
100689098,Mogs
100689099,Vim
100689100,Cxcl3
100689101,Ctps1
100689102,Fth1
100689103,Ssb
100689104,Mapk14
100689105,Sumo2
100689106,Akr1a1
100689173,Hs6st1
100689176,Slc7a1
100689177,Coro7
100689182,S1pr3
100689183,S1pr2
100689184,S1pr5
100689185,Tlr6
100689186,Il6
100689187,St3gal3
100689188,Slc38a2
100689189,P2ry2
100689190,Gnat1
100689191,Lpl
100689192,Fdft1
100689193,Pde1b
100689195,Sars
100689196,Xpa
100689197,Brca2
100689198,S1pr1
100689199,Acox1
100689201,Ddrgk1
100689202,Gls
100689203,Psmc3
100689204,Cdh2
100689205,Srrt
100689206,Trpc1
100689207,Fasn
100689208,Abcc1
100689209,Trpc3
100689210,Gnpda1
100689217,St8sia4
100689218,Trpc2
100689219,Klc1
100689220,Abcc2
100689222,App
100689224,Eif6
100689230,Dnajc10
100689232,Cad
100689233,Csr1
100689237,Birc6
100689238,Aimp1
100689239,Dicer1
100689240,Glg1
100689242,Atp7a
100689243,Cdc6
100689245,Pparg
100689246,Bsg
100689247,Cnbp
100689250,Aicda
100689251,Pik3ca
100689252,Pik3cb
100689253,Rarres2
100689254,Noc3l
100689255,Washc2
100689256,Znf330
100689267,Ubc
100689268,Ubb
100689272,Ercc2
100689273,Fancg
100689274,Cenpb
100689275,Cyp7a1
100689276,Eef1a1
100689277,Ap3m1
100689278,Fut
100689279,Rho
100689280,Dao
100689281,Apex1
100689282,Nat2
100689285,Tk1
100689286,Gjb6
100689287,Cbx5
100689288,Ear10
100689289,Ear11
100689291,Ear7
100689292,Rps14
100689293,Rps13
100689294,Dpm2
100689295,Dph3
100689301,Neu2
100689302,Pex19
100689303,Pcyt1a
100689304,Top2a
100689305,Hspa5
100689306,Xrcc5
100689307,Tmed2
100689308,Hyou1
100689309,Kif2c
100689310,Eef1e1
100689311,Gstp1
100689312,Gosr1
100689313,Sec22b
100689314,Tst
100689315,Slc3a2
100689316,Lamp2
100689317,Soat1
100689318,Akr1b8
100689319,Hbb
100689320,Slc9a1
100689321,Htr1b
100689322,Slc35a1
100689323,Fxr1
100689324,Rad51
100689325,Ugp2
100689326,Sptlc1
100689327,Serpinh1
100689328,Ndufa1
100689329,Tlr4
100689330,Folr1
100689331,Rad52
100689332,Prdx1
100689333,Orc2
100689334,Ext1
100689335,Pcna
100689336,Mmp14
100689337,Glul
100689338,Ddr2
100689339,Dbf4
100689341,Cdc7
100689342,Ly96
100689343,Pdia3
100689344,Taldo1
100689345,Canx
100689346,B4galt3
100689347,B4galt5
100689348,Tsta3
100689349,Prdx2
100689350,Hdac5
100689351,Slc1a4
100689352,Mad1l1
100689353,C1d
100689354,Prelid3b
100689357,Gjc1
100689359,Cbx1
100689360,Slc25a32
100689361,Ndufb11
100689362,Cdc45
100689363,Tubb6
100689364,Cyren
100689365,Dph2
100689367,Ercc3
100689368,Bak1
100689369,Casp8
100689370,LOC100689370
100689371,Bcl2l1
100689372,Rbm3
100689373,Neu1
100689374,Xiap
100689375,Pls3
100689376,Rpl13
100689377,Ercc1
100689378,Pex13
100689379,S100b
100689380,Pigu
